order_id,customer_id,order_date,product_id,quantity,price
ORD001,CUST001,2024-01-15,PROD001,2,29.99
ORD001,CUST001,2024-01-15,PROD002,1,49.99
ORD002,CUST001,2024-02-10,PROD003,3,19.99
ORD003,CUST002,2024-01-20,PROD001,1,29.99
ORD003,CUST002,2024-01-20,PROD004,2,79.99
ORD004,CUST002,2024-02-05,PROD002,4,49.99
ORD004,CUST002,2024-02-05,PROD005,1,299.99
ORD005,CUST003,2024-01-25,PROD001,10,29.99
ORD005,CUST003,2024-01-25,PROD002,5,49.99
ORD005,CUST003,2024-01-25,PROD003,8,19.99
ORD005,CUST003,2024-01-25,PROD004,3,79.99
ORD005,CUST003,2024-01-25,PROD005,20,299.99
ORD006,CUST003,2024-02-15,PROD001,5,29.99
ORD006,CUST003,2024-02-15,PROD002,10,49.99
ORD007,CUST004,2024-01-30,PROD003,2,19.99
ORD008,CUST004,2024-02-20,PROD004,1,79.99
ORD009,CUST005,2024-02-25,PROD005,1,299.99
