order_id,customer_id,order_date,product_id,quantity,price
ORD001,CUST001,2023-01-15,PROD001,2,25.50
ORD001,CUST001,2023-01-15,PROD002,1,15.75
ORD002,CUST001,2023-02-20,PROD003,3,45.00
ORD003,CUST002,2023-01-10,PROD001,1,25.50
ORD003,CUST002,2023-01-10,PROD004,2,75.25
ORD004,CUST002,2023-03-05,PROD002,4,15.75
ORD005,CUST003,2023-01-25,PROD005,10,1200.00
ORD005,CUST003,2023-01-25,PROD006,5,850.00
ORD006,CUST003,2023-02-15,PROD007,2,950.00
ORD007,CUST003,2023-03-10,PROD008,3,775.00
ORD008,CUST004,2023-02-01,PROD001,1,25.50
ORD009,CUST004,2023-02-28,PROD002,2,15.75
ORD010,CUST005,2023-01-05,PROD009,8,625.00
ORD010,CUST005,2023-01-05,PROD010,4,425.00
ORD011,CUST005,2023-01-20,PROD011,6,385.00
ORD012,CUST005,2023-02-10,PROD012,3,275.00
ORD013,CUST005,2023-02-25,PROD013,5,195.00
