order_id,customer_id,order_date,product_id,quantity,price
ORD001,CUST001,2024-01-15,PROD001,2,150.00
ORD001,CUST001,2024-01-15,PROD002,1,75.50
ORD002,CUST001,2024-02-20,PROD003,3,200.00
ORD003,CUST001,2024-03-10,PROD001,1,150.00
ORD004,CUST002,2024-01-05,PROD004,5,50.00
ORD004,CUST002,2024-01-05,PROD005,2,25.00
ORD005,CUST002,2024-02-12,PROD001,1,150.00
ORD006,CUST003,2024-01-20,PROD002,10,75.50
ORD006,CUST003,2024-01-20,PROD003,5,200.00
ORD007,CUST003,2024-02-25,PROD004,20,50.00
ORD007,CUST003,2024-02-25,PROD005,15,25.00
ORD008,CUST003,2024-03-15,PROD001,8,150.00
ORD008,CUST003,2024-03-15,PROD002,12,75.50
ORD009,CUST004,2024-01-10,PROD003,1,200.00
ORD010,CUST004,2024-02-14,PROD004,2,50.00
ORD011,CUST005,2024-01-25,PROD001,50,150.00
ORD011,CUST005,2024-01-25,PROD002,30,75.50
ORD011,CUST005,2024-01-25,PROD003,25,200.00
ORD012,CUST005,2024-02-28,PROD004,40,50.00
ORD012,CUST005,2024-02-28,PROD005,60,25.00
