order_id,customer_id,order_date,product_id,quantity,price
ORD001,CUST001,2023-01-15,PROD001,2,25.50
ORD001,CUST001,2023-01-15,PROD002,1,15.00
ORD002,CUST001,2023-02-20,PROD003,3,45.75
ORD003,CUST002,2023-01-10,PROD001,1,25.50
ORD003,CUST002,2023-01-10,PROD004,2,75.00
ORD004,CUST002,2023-03-05,PROD002,4,15.00
ORD004,CUST002,2023-03-05,PROD005,1,1200.00
ORD005,CUST003,2023-01-25,PROD006,10,500.00
ORD005,CUST003,2023-01-25,PROD007,5,800.00
ORD006,CUST003,2023-02-15,PROD008,2,2500.00
ORD006,CUST003,2023-02-15,PROD009,1,3000.00
ORD007,CUST003,2023-03-10,PROD010,3,1500.00
ORD008,CUST004,2023-01-05,PROD001,1,25.50
ORD009,CUST005,2023-02-01,PROD002,2,15.00
